ribosome_profiling_counts,ribosome_profiling_rpk,RNA-seq_counts,RNA-seq_rpk,transcript_ID,ribosome_profiling_tpm,RNA-seq_tpm,translation_efficiency
12,4.376367615,4.24,1.546316557,FBtr0078157,1.115836398,4.232895316,0.263610677
12,4.159445407,4.24,1.469670711,FBtr0100308,1.060528043,4.02308456,0.263610677
12,4.518072289,4.24,1.596385542,FBtr0078158,1.151966643,4.369954426,0.263610677
12,4.885993485,4.24,1.726384365,FBtr0078156,1.245775001,4.725813907,0.263610677
12,2.994011976,4.445479452,1.10915156,FBtr0078159,0.763379093,3.036197485,0.251426034
12,4.790419162,4.24,1.69261477,FBtr0100310,1.221406548,4.633372837,0.263610677
1052,378.6897048,2.546666667,0.916726662,FBtr0078154,96.55399029,2.509452528,38.47611749
1052,367.3184358,2.546666667,0.889199255,FBtr0100379,93.65467354,2.434098855,38.47611749
1006,364.6248641,2.613333333,0.947203093,FBtr0078153,92.9678973,2.592878875,35.85508687
1006,353.602812,2.613333333,0.918570592,FBtr0078155,90.15761991,2.514500111,35.85508687
988,581.5185403,21,12.36021189,FBtr0300568,148.2689779,33.83491095,4.382129989
991,455.4227941,21,9.650735294,FBtr0078114,116.1185199,26.41797505,4.395436052
992,414.0233723,21.08219178,8.798911428,FBtr0078115,105.5629666,24.08618778,4.382717911
0,0,0.933333333,0.920447074,FBtr0346127,0,2.519636805,0
0,0,0.933333333,0.423088546,FBtr0302194,0,1.158164878,0
0,0,0.933333333,0.423088546,FBtr0302196,0,1.158164878,0
0,0,0,0,FBtr0302195,0,0,
38,27.53623188,0.12,0.086956522,FBtr0330644,7.020874959,0.238035253,29.4951057
38,20.67464635,0.12,0.065288357,FBtr0300987,5.271385987,0.178720702,29.4951057
38,19.91614256,0.12,0.062893082,FBtr0330645,5.077991323,0.172163863,29.4951057
72,79.55801105,1,1.104972376,FBtr0078116,20.28479604,3.024757364,6.706255611
1,0.188714852,13.43016231,2.53447109,FBtr0330643,0.048116365,6.937874884,0.006935317
1,0.188501414,13.45682897,2.536631286,FBtr0301929,0.048061945,6.943788216,0.006921574
140,82.4014126,3,1.765744556,FBtr0078147,21.0097742,4.833558707,4.346647155
249,312.0300752,46.06936937,57.73103931,FBtr0330642,79.55787671,158.0332596,0.503424892
249,286.5362486,59.65603604,68.64906333,FBtr0330641,73.057751,187.9203177,0.388769836
206,496.3855422,3.853333333,9.285140562,FBtr0330640,126.5627352,25.41719405,4.979414129
237,487.654321,3.853333333,7.92866941,FBtr0078117,124.3365478,21.70398257,5.728743439
238,469.4280079,3.921129944,7.733984109,FBtr0301887,119.6894099,21.17104998,5.653447045
246,433.0985915,8.50990991,14.98223576,FBtr0301886,110.4265489,41.01245328,2.692512641
249,399.6789727,11.14666667,17.89192081,FBtr0078118,101.9055949,48.97744091,2.080663934
353,255.6118755,6,4.34467777,FBtr0340650,65.17300636,11.89314445,5.479880164
352,279.1435369,6,4.758128469,FBtr0078119,71.17284152,13.02492663,5.464356424
57,74.12223667,0.026666667,0.03467707,FBtr0091612,18.89884417,0.094925199,199.0919635
349,19.51901566,31.65333333,1.770320656,FBtr0078122,4.976736427,4.846085349,1.026960127
349,19.42882592,31.65333333,1.762140697,FBtr0306341,4.953740873,4.823693484,1.026960127
351,17.02065755,31.84,1.543982155,FBtr0330652,4.339733515,4.226505111,1.026790079
350,17.88360329,33.65333333,1.719551036,FBtr0332336,4.559757597,4.707108317,0.968696127
350,17.85349929,33.58666667,1.713255798,FBtr0078121,4.55208202,4.689875698,0.970618906
339,19.77483521,31.58666667,1.842540201,FBtr0332337,5.041962384,5.043779522,0.999639727
338,18.33568406,32.65333333,1.771364508,FBtr0330653,4.675024006,4.848942794,0.964132638
340,18.02852749,33.58666667,1.780935716,FBtr0078123,4.59670872,4.875143071,0.942886937
253,280.1771872,0,0,FBtr0078124,71.43638991,0,inf
1,0.775193798,23.15034786,17.94600609,FBtr0308246,0.197650091,49.12549424,0.004023371
1,0.794281176,23.15034786,18.38788551,FBtr0078146,0.202516773,50.33509736,0.004023371
202,64.55736657,3,0.958772771,FBtr0332338,16.46010247,2.624549774,6.271590895
202,69.60716747,3,1.033769814,FBtr0078125,17.74764322,2.829847086,6.271590895
202,64.72284524,3,0.961230375,FBtr0332339,16.50229434,2.631277233,6.271590895
206,25.04559271,31,3.76899696,FBtr0078145,6.385840132,10.31727269,0.61894653
424,23.91292087,98.76,5.569905815,FBtr0308255,6.097044362,15.24709033,0.399882484
427,24.07939999,98.76,5.569277618,FBtr0308254,6.139491312,15.24537071,0.402711842
429,23.90904531,98.76,5.504096305,FBtr0078144,6.096056215,15.06694303,0.40459808
429,23.82539154,98.76,5.484838387,FBtr0308253,6.074727128,15.0142263,0.40459808
433,23.37003454,99.88,5.390759931,FBtr0299837,5.958625385,14.75669542,0.403791311
0,0,483.9559887,291.5397522,FBtr0078126,0,798.0624962,0
108,97.73755656,2,1.809954751,FBtr0336990,24.92000962,4.954579935,5.029691708
108,110.0917431,1,1.019367992,FBtr0078143,28.06993948,2.79042346,10.05938342
173,96.16453585,4,2.223457476,FBtr0336989,24.5189387,6.086504534,4.028410489
177,102.5492468,4,2.317497103,FBtr0078140,26.14683963,6.343929118,4.121552928
177,100.9697661,4,2.281802624,FBtr0078141,25.74412162,6.246218858,4.121552928
9,1.190948789,0,0,FBtr0308252,0.303654566,0,inf
8,1.98019802,0,0,FBtr0078142,0.50488835,0,inf
1,0.413736036,4.12,1.70459247,FBtr0078127,0.105489705,4.666160657,0.022607388
301,171.4123007,18.06666667,10.28853455,FBtr0078139,43.70475723,28.16389018,1.551801152
287,334.1094296,8,9.313154831,FBtr0343777,85.18741916,25.49388046,3.341485001
287,345.7831325,32.50784023,39.16607256,FBtr0078128,88.16384706,107.2134191,0.82232101
